id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
324,66 to 75,982,1084,Social Security,0,500,2,NV,0.10067343
325,56 to 65,154.82,5988.72,Regular Job,0,1100,2,NM,0.0142568
326,66 to 75,34.35,1002.5,Social Security,0,750,2,NM,0.13480299
327,46 to 55,166.84,7733.36,Regular Job,0,1500,2,NV,0.0152521
328,36 to 45,1553.64,1761.06,Regular Job,1,205,2,MS,0.1396886
329,56 to 65,140.11,9996,Regular Job,0,200,1,AL,0.0235094
330,36 to 45,7.11,5941.76,Regular Job,0,800,1,NM,0.01232127
331,46 to 55,100.89,761,Self Employed,0,400,2,ID,0.1313929
332,66 to 75,851.83,1501.3,Social Security,0,987.24,2,NM,0.10805302
333,56 to 65,30.08,1109,Social Security,0,750,1,NV,0.06708747
334,26 to 35,65.54,3209.6,Regular Job,1,400,2,OK,0.14196473
335,66 to 75,99.47,7059.52,Regular Job,1,400,1,NM,0.00665343
336,75 and above,78.97,2809.58,Social Security,0,1500,1,NM,0.0835285
337,36 to 45,1212.23,4755.72,Self Employed,1,600,2,NM,0.00984078
338,66 to 75,1273.71,1513.4,Social Security,1,500,1,OK,0.3737016
339,36 to 45,1.5,8800,Regular Job,1,600,2,MI,0.0768875
340,46 to 55,142.47,2841.6,Regular Job,0,400,2,NM,0.01674761
341,56 to 65,8.65,3818.2,Regular Job,0,700,2,NM,0.01357708
342,66 to 75,323.78,4053.34,Retired / Pension,1,800,2,NM,0.0353881
343,36 to 45,1.38,8062.74,Regular Job,0,150,1,MS,0.02232492
344,75 and above,1765.01,1541,Social Security,0,500,2,NM,0.06731343
345,36 to 45,18.83,6056.24,Regular Job,0,500,2,NM,0.00662127
346,46 to 55,41.78,4015.96,Regular Job,0,400,2,OK,0.02119792
347,75 and above,84.63,1127,Social Security,1,500,1,OK,0.50190772
348,46 to 55,58.12,3521.96,Regular Job,0,200,2,LA,0.07105135
349,36 to 45,519,2597.25,Regular Job,0,200,2,OK,0.08877082
350,56 to 65,287.4,752.64,Self Employed,0,500,1,NM,0.15985066
351,46 to 55,16.96,2944.48,Regular Job,0,300,1,NM,0.0139821
352,56 to 65,72.72,9120.16,Self Employed,0,500,2,ID,0.00712268
353,26 to 35,123.99,3750.48,Regular Job,0,500,2,NV,0.02909761
354,36 to 45,34.95,2924.96,Regular Job,1,700,2,NM,0.02113191
355,56 to 65,30.08,1109,Social Security,0,750,1,NV,0.06709648
356,75 and above,434.16,1312,Social Security,0,700,1,OK,0.10695884
357,36 to 45,5.49,733,Social Security,0,600,2,OK,0.16409277
358,66 to 75,197.12,625,Social Security,0,800,2,OK,0.256608
359,36 to 45,445.59,7785.28,Regular Job,0,700,2,NM,0.00737546
360,56 to 65,650.23,3116.16,Self Employed,0,800,2,NM,0.02529395
361,56 to 65,8.96,803,Social Security,1,500,1,OK,0.70442092
362,26 to 35,929.54,4552.12,Regular Job,1,350,2,OK,0.02142299
363,66 to 75,578.66,938,Social Security,0,1000,2,NM,0.17569296
364,66 to 75,2.64,794,Social Security,0,200,2,NM,0.08360202
365,36 to 45,34.95,2924.96,Regular Job,1,700,2,NM,0.02113191
